method,seq_len,count,mean_ppl,std_ppl,min_ppl,max_ppl
ALiBi_trained,512,100,10.940422964135244,2.5939330164693306,7.028623398902592,19.10118592485101
LAOPPE_L2,512,100,11.262672449357993,2.6896898177502138,7.25165027316304,19.693680626038848
RoPE,512,100,13.641902581769061,3.6593347464198076,7.7719373181786215,23.414474660427746
ALiBi_trained,1024,100,9.659164867151024,1.882639480939072,6.157898414069857,16.5671793662036
LAOPPE_L2,1024,100,10.150851281763112,2.004173459216398,6.378460269170635,17.489006858776587
RoPE,1024,100,12.394600174832451,2.7856637907838993,7.407179635772788,21.05032518011654
ALiBi_trained,2048,100,8.801980075402783,1.5380218666848515,5.202621588125821,14.188340287243786
LAOPPE_L2,2048,100,9.526463671851364,1.7161833295390232,5.474585879360684,15.639335358836114
RoPE,2048,100,11.703641008297213,2.4026346101399736,5.517445318064746,19.216683561141515
ALiBi_trained,4096,100,8.103860966209158,1.093887202006184,5.564583176332111,10.656570019887047
LAOPPE_L2,4096,100,9.047042743003681,1.2526170029642922,6.191310768333583,11.949444085249995
RoPE,4096,100,11.190432760362814,1.8080340305553735,6.968186399665598,16.33707790257497
